unique_key,created_date,closed_date,complaint_type,descriptor,agency,borough,resolution_description,status,resolution_hours
65130714,2025-06-01T12:10:00.000,2025-06-04T10:36:00.000,Street Light Condition,Street Light Out,DOT,STATEN ISLAND,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,70.4
65130474,2025-06-01T12:13:55.000,2025-12-15T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,BROOKLYN,The Department of Buildings has inspected this location and found a compliance deficiency resulting in a Full Stop Work Order.,Closed,4715.8
65126045,2025-06-01T12:15:00.000,2025-06-04T12:14:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,72.0
65124641,2025-06-01T12:22:56.000,2025-06-05T00:00:00.000,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,DOB,QUEENS,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,83.6
65125963,2025-06-01T12:22:56.000,2025-07-09T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,899.6
65126981,2025-06-01T12:23:00.000,2025-06-01T13:50:00.000,Water System,Possible Water Main Break (Use Comments) (WA1),DEP,STATEN ISLAND,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,1.4
65127764,2025-06-01T12:28:57.000,2025-08-03T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,1499.5
65126972,2025-06-01T12:29:00.000,2025-06-02T04:35:00.000,Water System,Dirty Water (WE),DEP,BROOKLYN,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,Closed,16.1
65128387,2025-06-01T12:31:00.000,2025-06-02T14:07:00.000,Street Light Condition,Lamppost Leaning,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,25.6
65129460,2025-06-01T12:31:58.000,2025-07-11T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,947.5
65125966,2025-06-01T12:34:59.000,2025-06-02T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,MANHATTAN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,11.4
65128863,2025-06-01T12:35:00.000,2025-06-01T18:15:00.000,Water System,LOW WATER PRESSURE - WLWP,DEP,BROOKLYN,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,5.7
65129477,2025-06-01T12:37:59.000,2025-08-26T00:00:00.000,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,DOB,MANHATTAN,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,2051.4
65129476,2025-06-01T12:41:00.000,2025-06-02T00:00:00.000,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,DOB,MANHATTAN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,11.3
65133868,2025-06-01T12:43:00.000,2025-06-01T13:32:00.000,Street Light Condition,Lamppost Leaning,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,0.8
65130468,2025-06-01T12:44:00.000,2025-06-02T01:05:00.000,Water System,Hydrant Running (WC3),DEP,MANHATTAN,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,Closed,12.3
65131886,2025-06-01T12:50:00.000,2025-06-06T14:46:00.000,Street Light Condition,Street Light Out,DOT,BRONX,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,121.9
65124822,2025-06-01T12:59:16.000,2026-03-12T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,6803.0
65128110,2025-06-01T13:05:00.000,2025-06-01T20:40:00.000,Water System,Hydrant Running (WC3),DEP,BROOKLYN,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",Closed,7.6
65130102,2025-06-01T13:23:21.000,2025-06-03T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,34.6
65130100,2025-06-01T13:23:40.000,2025-06-05T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BROOKLYN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,82.6
65133006,2025-06-01T14:17:38.000,2025-06-02T00:00:00.000,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,DOB,MANHATTAN,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,9.7
65125424,2025-06-01T14:17:38.000,2025-11-14T00:00:00.000,Elevator,Elevator - Multiple Devices On Property,DOB,BROOKLYN,The Department of Buildings investigated this complaint and prepared a violation but were unable to issue it.,Closed,3969.7
65126593,2025-06-01T14:17:48.000,2025-09-29T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BROOKLYN,The Department of Buildings investigated this complaint and prepared a violation but were unable to issue it.,Closed,2865.7
65131613,2025-06-01T14:29:50.000,2025-06-23T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,BROOKLYN,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",Closed,513.5
65131611,2025-06-01T14:35:52.000,2025-12-24T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,4929.4
65129474,2025-06-01T14:44:53.000,2025-06-23T00:00:00.000,General Construction/Plumbing,Fence - None/Inadequate,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,513.3
65127763,2025-06-01T14:44:53.000,2025-06-05T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BROOKLYN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,81.3
65128378,2025-06-01T14:48:00.000,2025-06-05T11:17:00.000,Street Light Condition,Fire Globe Missing,DOT,STATEN ISLAND,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,92.5
65127181,2025-06-01T14:54:08.000,2026-02-04T00:00:00.000,Building/Use,Illegal. Commercial Use In Resident Zone,DOB,BROOKLYN,,Closed,5937.1
65125962,2025-06-01T15:00:33.000,2025-08-06T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,1569.0
65126987,2025-06-01T15:04:00.000,2026-02-25T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,BROOKLYN,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,6440.9
65132445,2025-06-01T15:22:03.000,2025-06-05T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,80.6
65132442,2025-06-01T15:37:05.000,2025-12-04T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BROOKLYN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,4448.4
65126595,2025-06-01T15:37:23.000,2025-06-11T00:00:00.000,Elevator,Elevator - Single Device On Property/No Alternate Service,DOB,BRONX,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,224.4
65127179,2025-06-01T15:49:48.000,2025-07-29T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BRONX,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,1376.2
65130644,2025-06-01T15:55:59.000,2025-06-02T00:00:00.000,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,DOB,MANHATTAN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,8.1
65128310,2025-06-01T15:59:00.000,2025-06-03T00:00:00.000,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,DOB,MANHATTAN,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,32.0
65128298,2025-06-01T16:02:01.000,2025-07-03T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,752.0
65128308,2025-06-01T16:11:03.000,2025-07-02T00:00:00.000,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,DOB,BROOKLYN,The Department of Buildings reviewed this complaint and referred it to the Department of Transportation for further action.,Closed,727.8
65130473,2025-06-01T16:11:03.000,2025-07-17T00:00:00.000,General Construction/Plumbing,Building Permit - None,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,1087.8
65128302,2025-06-01T16:20:05.000,2025-10-24T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BROOKLYN,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,Closed,3463.7
65131885,2025-06-01T16:32:00.000,2025-06-03T12:06:00.000,Street Light Condition,Street Light Out,DOT,BRONX,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,43.6
65125961,2025-06-01T16:32:08.000,2026-02-23T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,6391.5
65130634,2025-06-01T16:32:20.000,2025-10-24T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,BROOKLYN,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,Closed,3463.5
65130712,2025-06-01T16:54:00.000,2025-06-09T10:10:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,185.3
65124821,2025-06-01T17:03:00.000,2025-06-30T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,679.0
65124820,2025-06-01T17:09:09.000,2025-12-10T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,4590.8
65127171,2025-06-01T17:39:00.000,2025-06-05T11:38:00.000,Street Light Condition,Bracket Arm Loose,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,90.0
65127262,2025-06-01T17:50:00.000,2025-06-05T12:23:00.000,Street Light Condition,Street Light Out,DOT,BRONX,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,90.5
65127174,2025-06-01T17:57:18.000,2025-06-02T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,STATEN ISLAND,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,6.0
65127180,2025-06-01T18:00:38.000,2025-06-02T00:00:00.000,Building/Use,Illegal. Commercial Use In Resident Zone,DOB,BROOKLYN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,6.0
65125960,2025-06-01T18:43:38.000,2025-10-21T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,3389.3
65129458,2025-06-01T19:17:30.000,2025-09-15T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,2524.7
65140229,2025-06-01T19:38:35.000,2025-10-02T00:00:00.000,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,DOB,QUEENS,The Department of Buildings investigated this complaint and determined that no further action was necessary.,Closed,2932.4
65128382,2025-06-01T19:39:00.000,2025-06-09T12:23:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,184.7
65139036,2025-06-01T20:11:44.000,2025-06-30T00:00:00.000,Building/Use,Illegal Conversion Of Residential Building/Space,DOB,QUEENS,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,675.8
65126056,2025-06-01T20:14:00.000,2025-06-11T13:01:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,232.8
65127261,2025-06-01T20:15:00.000,2025-06-02T14:32:00.000,Street Light Condition,Street Light Out,DOT,BRONX,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,18.3
65130711,2025-06-01T21:07:00.000,2025-06-03T09:27:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,36.3
65133074,2025-06-01T21:16:00.000,2025-06-06T09:15:00.000,Street Light Condition,Street Light Out,DOT,MANHATTAN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,108.0
65127269,2025-06-01T21:26:00.000,2025-10-15T16:43:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,3259.3
65126055,2025-06-01T21:30:00.000,2025-08-28T13:24:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,2103.9
65128392,2025-06-01T21:31:00.000,2025-06-05T11:40:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,86.2
65128383,2025-06-01T21:41:00.000,2025-06-02T14:34:00.000,Street Light Condition,Street Light Out,DOT,BRONX,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,16.9
65126057,2025-06-01T21:52:00.000,2025-06-02T13:53:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,16.0
65128393,2025-06-01T22:16:00.000,2026-02-18T09:07:00.000,Street Light Condition,Street Light Out,DOT,BRONX,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,6274.9
65128381,2025-06-01T22:38:00.000,2025-06-05T10:58:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,84.3
65133080,2025-06-01T22:42:00.000,2025-06-05T10:41:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,84.0
65424762,2025-07-01T00:00:23.000,2025-07-01T06:52:59.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,6.9
65422547,2025-07-01T00:00:32.000,2025-07-01T00:46:11.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.8
65423521,2025-07-01T00:00:40.000,2025-07-01T01:54:17.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded to the complaint and took action to fix the condition.,Closed,1.9
65433903,2025-07-01T00:02:00.000,2025-07-02T20:00:00.000,Water System,Hydrant Running Full (WA4),DEP,BRONX,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,Closed,44.0
65423527,2025-07-01T00:02:01.000,2025-07-01T03:09:22.000,Blocked Driveway,No Access,NYPD,STATEN ISLAND,The Police Department issued a summons in response to the complaint.,Closed,3.1
65424969,2025-07-01T00:02:25.000,2025-07-01T03:52:36.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,3.8
65426999,2025-07-01T00:03:00.000,2025-07-07T11:50:00.000,Street Light Condition,Street Light Out,DOT,BRONX,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,155.8
67724887,2025-07-01T00:03:23.000,2025-07-17T05:03:08.000,PLUMBING,TOILET,HPD,BRONX,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,389.0
67754563,2025-07-01T00:03:23.000,2025-07-17T05:03:08.000,PAINT/PLASTER,WALL,HPD,BRONX,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,Closed,389.0
65422491,2025-07-01T00:04:01.000,2025-07-01T00:49:58.000,Illegal Parking,Commercial Overnight Parking,NYPD,STATEN ISLAND,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,0.8
65427461,2025-07-01T00:04:33.000,2025-07-01T01:27:39.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and took action to fix the condition.,Closed,1.4
65423684,2025-07-01T00:04:37.000,2025-07-01T10:42:04.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,10.6
65420022,2025-07-01T00:04:40.000,2025-07-01T05:49:22.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,5.7
65418795,2025-07-01T00:04:53.000,2025-07-01T03:24:17.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,3.3
65433227,2025-07-01T00:04:58.000,2025-07-26T00:00:00.000,Elevator,Elevator - Multiple Devices On Property,DOB,BROOKLYN,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",Closed,599.9
65431533,2025-07-01T00:05:00.000,2025-07-02T20:00:00.000,Water System,Hydrant Running Full (WA4),DEP,BRONX,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,Closed,43.9
65424825,2025-07-01T00:05:04.000,2025-07-01T11:07:38.000,Rodent,Rat Sighting,DOHMH,BROOKLYN,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,Closed,11.0
65424767,2025-07-01T00:05:08.000,2025-07-01T01:04:44.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,1.0
65424965,2025-07-01T00:05:30.000,2025-07-01T00:18:28.000,Noise - Residential,Loud Music/Party,NYPD,QUEENS,The Police Department responded to the complaint and took action to fix the condition.,Closed,0.2
65421131,2025-07-01T00:05:49.000,2025-07-01T01:04:47.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.0
65423681,2025-07-01T00:05:58.000,2025-07-01T09:38:47.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,9.5
65427419,2025-07-01T00:06:00.000,2025-07-01T05:34:28.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,5.5
65421348,2025-07-01T00:06:52.000,2025-07-01T05:13:29.000,Noise - Residential,Loud Talking,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,5.1
65422543,2025-07-01T00:07:06.000,2025-07-01T03:53:10.000,Noise - Residential,Loud Music/Party,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,3.8
65423276,2025-07-01T00:08:00.000,2025-07-02T11:02:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,34.9
65430300,2025-07-01T00:08:00.000,2025-07-01T07:18:00.000,Water System,Hydrant Running Full (WA4),DEP,BROOKLYN,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,Closed,7.2
65423657,2025-07-01T00:09:56.000,2025-07-01T01:15:47.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,1.1
65424769,2025-07-01T00:10:36.000,2025-07-01T01:10:41.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,1.0
65426029,2025-07-01T00:11:13.000,2025-07-01T00:59:39.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,0.8
65419853,2025-07-01T00:11:55.000,2025-07-01T01:05:58.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,0.9
67687118,2025-07-01T00:12:24.000,2025-07-06T12:09:59.000,PLUMBING,WATER SUPPLY,HPD,BROOKLYN,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,132.0
67729058,2025-07-01T00:12:24.000,2025-07-06T12:09:59.000,PLUMBING,RADIATOR,HPD,BROOKLYN,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,Closed,132.0
65420039,2025-07-01T00:12:29.000,2025-07-01T12:35:04.000,Illegal Parking,Commercial Overnight Parking,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,12.4
65422538,2025-07-01T00:12:49.000,2025-07-01T09:03:46.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,8.8
65424918,2025-07-01T00:13:12.000,2025-07-01T05:26:34.000,Illegal Parking,Posted Parking Sign Violation,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,5.2
65426170,2025-07-01T00:13:13.000,2025-07-01T05:26:11.000,Illegal Parking,Posted Parking Sign Violation,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,5.2
65424107,2025-07-01T00:13:16.000,2025-07-01T05:24:59.000,Illegal Parking,Blocked Crosswalk,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,5.2
65427394,2025-07-01T00:13:18.000,2025-07-01T05:25:39.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,5.2
65423671,2025-07-01T00:13:20.000,2025-07-01T05:28:43.000,Illegal Parking,Blocked Sidewalk,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,5.3
65427456,2025-07-01T00:14:47.000,2025-07-01T01:44:22.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,1.5
65427449,2025-07-01T00:15:26.000,2025-07-01T00:32:56.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.3
65425792,2025-07-01T00:16:00.000,2025-07-09T12:20:00.000,Street Light Condition,Street Light Out,DOT,BRONX,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,204.1
65436479,2025-07-01T00:16:28.000,2025-07-01T01:31:09.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department issued a summons in response to the complaint.,Closed,1.2
65429723,2025-07-01T00:17:06.000,2025-07-02T14:35:32.000,Rodent,Rat Sighting,DOHMH,MANHATTAN,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,Closed,38.3
65435409,2025-07-01T00:17:27.000,2025-07-01T00:58:29.000,Noise - Residential,Banging/Pounding,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.7
65432729,2025-07-01T00:18:10.000,2025-07-01T05:29:15.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,5.2
65430387,2025-07-01T00:18:11.000,2025-07-01T06:18:56.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,6.0
65433943,2025-07-01T00:18:14.000,2025-07-01T01:34:32.000,Illegal Parking,Blocked Hydrant,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,1.3
65435231,2025-07-01T00:18:16.000,2025-07-01T04:18:36.000,Illegal Parking,Posted Parking Sign Violation,NYPD,QUEENS,The Police Department issued a summons in response to the complaint.,Closed,4.0
65435310,2025-07-01T00:18:18.000,2025-07-01T04:19:10.000,Blocked Driveway,No Access,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,4.0
